rating,text
rotten,"Watching the horrible action comedy flick Freelance is like being stuck in a putrid cesspool of idiocy, much like the film's main characters are stuck in a swampy jungle. The cast members have no chemistry with each other. The plot is formulaic junk."
rotten,"Even the most cherished daydream needs a bit of skill and finessing if it’s to translate to the big screen, and that’s where Freelance falls fatally short — yielding not an uplifting escape, but an enervating bore."
rotten,"By its conclusion, what we’re left with is a cinematic Frankenstein, whose disparate genre elements have been cobbled together without much consideration or fuss."
rotten,"Freelance is an eyesore of horrendous digital effects, features uninspired action, and wastes the few big names in its cast."
rotten,John Cena deserves better. And so do we.
rotten,The only constant is the viewer’s boredom.
rotten,A mild rom-com. It did not entirely work for me... I did not feel the chemistry between David Duchovny and Meg Ryan.
rotten,That Meg Ryan comeback. Let's pretend it didn't happen.
fresh,"This isn’t a great movie by any stretch, but it’s nice to see Ryan back doing her thing while also showing us she’s matured as an actor in ways I wasn’t certain she would."
rotten,"Another unfair break for Ryan, as I imagine a less interesting version of this movie would have been more warmly received."
fresh,"Despite its flaws, it’s easy to be charmed by the unconventional flair of this modern love story."
rotten,Why Duchovny and Ryan would ever unite is one of the big mysteries of this film. The two aren’t the first you think of when it comes to ticking off lists of weather events.
fresh,What Happens Later has a disarming charm that sneaks up on you.
rotten,"the behavior of the two “adults” does not make much sense as they banter, complain, criticize and emote about their past and present lives. I should care about the characters but I do not – at all."
rotten,"Ryan's fans will be thrilled to see her back on screen, but it's unlikely others will want to ""have what she's having."""
rotten,"It's hard to take much heart out of the message, here. It turns out that ""What Happens Later"" is we're all stuck, each with our own version of our past, one that doesn't allow us to learn much from it."
rotten,"The premise has wings and Ryan + Duchovny are well-matched, but just like the planes grounded on the tarmac, the movie fails to take flight."
rotten,"The cloud of dissatisfaction I felt after watching it kept trying to reshape its molecules into a better movie, albeit one that could live only in my head."
fresh,"Ryan and Duchovny deliver compelling, affecting performances despite the lackluster screenplay."
fresh,"What Happens Later is the kind of thing the studios that made Ryan’s earlier romantic comedies seem to have walked away from. Fortunately, if only this one time, she has brought it back -- older, wryer maybe, but just as smart and just as heartfelt."
fresh,"Meg Ryan returning to the big screen in the genre that launched her career made me exceptionally giddy. Though Meg and David Duchovny were clearly having a good time, the overall story could have been a bit more memorable."
rotten,"While Ryan and Duchovny have good chemistry and bring emotional truth to Willa and Bill, the situation that allows for this to happen never ceases to feel artificial and forced. [Full review in Spanish]"
fresh,The key is understanding that nobody makes it to that age without handling as much baggage as an airport. That’s what makes Ms. Ryan’s second directorial effort a surprising treat.
fresh,The chemistry between Duchovny and Ryan takes flight long before the planes are ready to board.
fresh,Duchovny and Ryan have nice chemistry and there are some sweet moments as they unravel their past
fresh,Life and love have a different taste when there are more years behind than ahead.
rotten,"Despite some laughs along the way, it drags more than it delights."
rotten,"If listening to Ryan and co-star David Duchovney chit-chat for two hours is your idea of a good time, go for it. Others, beware. It is, as the Brits say, “A bit twee.”"
rotten,"In an attempt to revive the rom-com, Meg Ryan takes us to the most unfunny and unromantic place imaginable, a regional airport."
rotten,"What Happens Later has such a chip on its shoulder about its relationship to its own maligned genre that it never actually gets around to much by way of pleasure, which you might argue is that genre’s main purpose."
rotten,"Ryan’s return to the romcom might remind us of her rare skillset within the genre but it also makes us crave more, the answer to What Happens Later being ultimately: not that much."
fresh,"“What Happens Later” doesn't reach the heights of Ryan’s beloved romantic comedies, but its sweet comforts might be just the ticket if you’re looking for laughter-through-tears on the couch on a Sunday afternoon."
rotten,"What’s missing in “What Happens Later” is outright startling: whimsy. Or maybe it’s heart — or both? Basically, there’s something vacant behind the metaphoric eyes of the film, because there’s nothing going on beneath the surface."
fresh,Seeing Meg Ryan in a romantic comedy is a treat to us all.
fresh,"Though not her best romantic comedy, there is still much to love about Meg Ryan's latest."
fresh,"It’s a delight to welcome Meg Ryan back to the silver screen after an extended hiatus, and in the genre she helped rejuvenate. Innovatively eschewing genre tropes, she favors authentic character drive — with just a little twee magic sprinkled in."
rotten,"Drab, grayscale shots of a man and woman sitting at the gate are not my idea of a good time, especially when underscored by David Boman’s sappy Hallmark movie music."
fresh,"What Happens Later has a wily charm about it in the way that it just keeps pushing — pushing to be noticed, pushing to be obvious, pushing to be loved. If it doesn't all the way work, it's a commendable effort and a reminder of Ryan's considerable charms."
rotten,"Those in search of the soothingly feel-good vibes offered by Rob Reiner and Nora Ephron would be wise to look elsewhere, as Ryan has instead crafted what basically amounts to Before Sunset for the AARP crowd... [but without any] emotional honesty."
rotten,"Had the film focused on the heart of the drama and let these two characters engage with their messy history together, this could have been flying high. Unfortunately, what we get stays flat on the ground."
fresh,Subverts the expectations of what one would expect of Will and Wilehmina’s meet-cute reunion as the artifice of its set-up starts to fall away and the two can get real with one another about where they are in their lives.
fresh,"Ryan and Duchovny both have the charm, mileage in life, and acting chops to adeptly shift from comedy to drama on a dime, which makes What Happens Later work very well."
fresh,"A film like this doesn’t need to do anything new as long as you have two leads that can sell the material, and Ryan and Duchovny do just that."
fresh,"“What Happens Later” is so deeply heartfelt and so beautifully performed that it stirs something within — a hope, not necessarily for an airport rendezvous but for a moment of healing, the kind that everyone desires and everyone deserves."
rotten,"Meg Ryan and David Duchovny are ready for a better, more rewarding film than What Happens Later."
rotten,What Happens Later makes us feel stuck in this story that doesn't have much to say or do and takes a long time to get there.
fresh,"While it’s unlikely to join the rom-com pantheon, its charming leads and humorous truths do invoke the spirit of Ephron, to whom the film is dedicated."
rotten,What Happens Later is so overwritten and cumbersome that it feels like you are there for every minute of that overnight delay rather than a 103-minute movie
fresh,"Isn’t big on tingles, but it does have Ryan and co-star David Duchovny, who share decent chemistry in this tale of regret, helping to bring an otherwise static but deeply felt picture to life."
fresh,"""What Happens Later"" does give off the feel of an Ephron film, and that's meant as a compliment since laughter, reflection, compassion and even understanding and misunderstandings."
rotten,"A romantic comedy that tries to be funny, whimsical, and deep, but ends up being none of those things."
fresh,"What Happens Later isn't without some hiccups in its execution, but with Meg Ryan back at the helm, it's impossible not to feel charmed."
rotten,"For all of its build-up, the movie ultimately deflates with a disappointing squeal, like a half-blown-up balloon that someone abandoned because finishing the process felt like too much work."
fresh,"“What Happens Later” is no rom-com, but it’s a surprisingly moving chapter in Ryan’s screen story; a gentle reminder that we carry our pasts with us — and that sometimes, we get a second chance to make things right."
fresh,"A sparkling romantic comedy. Meg Ryan and David Duchovny are magic together. Enchanting, witty and delightful. It's a warm, funny and tender journey well worth taking. See it with someone you love."
rotten,"This might have worked as a short film or a 30-minute TV episode, but as a feature film, it grows increasingly cloying as the minutes tick on."
fresh,A young audience may not fully appreciate the existential quandary the two principals face here. But those with a little more life under their belts will likely feel differently.
rotten,"What might have proved effective theatrically comes across as wholly artificial and schematic onscreen, despite Ryan’s considerable efforts as both director and performer."
fresh,"Maybe somebody somewhere has made a better American film about mature love, but at this moment, I can’t think of any."
fresh,"While recapturing the vibe of her '90s oeuvre, the film advances the formula for people who have grown up since then."
rotten,"Not having seen Steven Dietz’s play ‘Shooting Star,’ it is difficult to determine what cowriter (with Dietz and Kirk Lynn)/director Meg Ryan saw in his airport romance, but what she’s done with it is something best left on the tarmac."
fresh,"Guess what? It works, even offering some LOL moments along the way in a movie that isn’t trying to reinvent anything here, just finding a new angle to squeeze some more life out of it."
fresh,I liked it just enough to get me through the end credits...
rotten,"“Not very good,” but “Too cute to hate” will have to do."
fresh,"Family Switch is fun, whimsical and entertaining enough to keep me mostly hooked throughout its 101-minute duration."
rotten,The gag here is a predictable and old one...
fresh,"Family Switch yields some laughs, some cringe, and a fair amount of heart, even if it doesn't tread new ground for this ridiculous, beloved premise."
fresh,"This new riff on the body swap comedy is more than a little familiar, but a charming cast makes it a breezy watch."
rotten,"It’s simply hard to feel all that deeply for characters so flat and sweet they might as well be gingerbread people, resolving problems that barely seemed to exist in the first place."
rotten,"The real nail in the coffin is the film’s messaging about the power of family, which is about as tacked-on and stilted as they come — hardly a shock in light of the rest of the Netflix holiday movie lineup."
rotten,"There are plenty of shots of the dog urinating under the Christmas tree, as well as a close-up of a colonoscopy souvenir photo, and a recurring joke that involves... snarfing down ice cream and then furiously farting."
rotten,"There’s no joy in candidly observing that if awfulness were incarnated and saw this movie, it would say, “Whoa, too awful for me.”"
rotten,"An unexpectedly aggressive viewing experience that immediately suffocates all emotion it offers, while its overall sense of humor is dispiriting."
fresh,"The film has all the right ingredients for an enjoyable family movie with its Christmas magic, wholesome values, adventure and competition, and clever animated ornaments that look just like the actors portraying them."
fresh,A madcap medley of deranged ideas that somehow manage to coalesce into a messy but half-decent Crimbo comedy. Just spare a thought for the far more interesting horror film straining to break through.
fresh,"Ultimately, Murphy delivers a festive watch suitable for the entire family. While Candy Cane Lane may not secure its spot among the most memorable Christmas movies ever made, it undeniably captures the essence that makes seasonal films so beloved."
rotten,"The bizarro plot might help Candy Cane Lane stand out from the bland, busy crowd of new seasonal movies but it’s just as limp and lacking in spirit as the rest of them. Murphy and Ross deserve better, and so do we, and so does Christmas."
rotten,"It’s the overall lethargy of the production that’s disappointing, with the helmer lingering on excess character information, dud jokes, and overplotting, which robs this effort of the fun factor it’s desperately trying to achieve."
fresh,The main thing to say about “Candy Cane Lane” is that Eddie Murphy is funny in it.
rotten,"This comedy-fantasy flick manages to hold your attention only fleetingly, frequently straying off course. Despite the festive backdrop, the film's plot feels undercooked, leaving viewers craving for a more satisfying experience."
fresh,"It’s all fine. Murphy is so much more than that. Or used to be. You like to think that, given the right material, he will be again. Now that would be a gift."
rotten,"“Candy Cane Lane” is a stunningly uneven film that careens between cornball family drama, slapstick comedy and special-effects-laden gimmickry."
fresh,"You want to see Eddie Murphy surrounded by some Christmas-themed silliness. And on that score, it’s fine enough, but destined for regifting."
fresh,"The result swings between manic and sedative, though not always unpleasantly. The saving graces are a zesty Ellis Ross and the enigma that is Murphy, an actor whose comic timing is still casually brilliant."
rotten,The narrative careens through uncompelling territory before ending on a forgettable note.
rotten,"[It] isn’t a chore or a travesty or anything. But certainly, it’s less than Murphy deserves."
fresh,"This one is tailor-made for Murphy’s talents, a comic actor who manages to keep it real and grounded without careening totally out of control."
rotten,"The best way to describe Candy Cane Lane is like if you took the original Jumanji movie and covered it with tinsel and Christmas ornaments. It's mildly clever, but not to the level that it thinks it is."
rotten,"Candy Cane Lane is a rotten, weird, and unfunny mess. Add this junk to the list of Eddie Murphy misfires meant to be crowd pleasers but just turn off many people. There's also a semi-accidental animal cruelty scene that's played for laughs. Horrendous."
fresh,A tame yet enjoyable triumph for fans of the video game. Those unfamiliar with the series might walk away feeling more lost than a devoted fan.
fresh,"You’d be forgiven for expecting a zany, over-the-top romp in which heroes battle the increasingly creepy cartoon animal-like robots as they fight to stay alive, but it isn’t that. Well, OK, it’s … kinda that … eventually."
rotten,All this movie needs is Nic Cage and it'd be fine.
rotten,"A deeply unpleasant and quite ridiculous game of hopscotch among devastating kidnapping thriller, nasty family drama, and empty serial killer nonsense."
rotten,The film mostly concentrates on Mike’s familial travails and history. It flails around trying to come up with psychologically resonant characteristics for its protagonist. It ends up with an inert and implausible narrative.
rotten,"Intended (apparently) as a horror flick, it’s not scary, and, despite the absurdity of the story, it’s not funny. It’s barely anything at all."
fresh,"A lot of it feels like an Elm Street sequel, and you’ve got to respect a film about menacing animatronics that casts Mary Stuart Masterson."
rotten,"An early sequence where we watch these mascots come to life and dispatch a group of people shows promise for something better (and the animatronics do look pretty solid), but it’s all for naught. This is about as good as cardboard pizza."
fresh,"A video game adaptation made overtly for the fans and only the fans.  Newcomers will be totally lost, but it's target audience should have fun."
rotten,So much plot is crammed into this nearly 2-hour film that it's honestly quite shocking that there's nary a scare to be found.
fresh,"Convoluted subplots risk derailing the narrative on more than one occasion, but Freddy and his menacing cohorts, created by Jim Henson's Creature Shop, do just about enough to deliver some fun and frights."
rotten,"Seriously, how do you mess up a setup as foolproof as this one?"
rotten,"One of the most forgettable, half-a---d horror movies of the past few years. Five Nights at Freddy's isn't just an ambitious failure; it's a film that treads the water of familiar cliches for an hour and a half and then fizzles out."
rotten,The film struggles to balance its disparate tones and subject matter (fun animatronics with child murder) while barely containing enough scares and violence to act as a gateway horror flick for pre-teens. At least Matthew Lillard is having fun.
rotten,The problem could hinge on the film’s rating. An R might have opened the door to more malevolence. A PG-13 simply makes the lights flicker.
fresh,"As a review, I enjoyed it for what it was, though hardcore fans seem to see Easter eggs left and right. So I'll give it a B- as a midground."
fresh,The FNAF movie will likely work better for hardcore fans than it will for newcomers. The evil Chuck E Cheese aesthetic is effectively fun and the animatronics look great. The main character's story and the Fazbear Pizzeria fail to connect fully.
fresh,"With humor and a few minor bloody scenes plus the ghost children element, Five Nights at Freddy’s falls somewhere between R. L. Stine’s Goosebumps and Gremlins. It’s creepy fun for kids and adults, however, young children may find a few scenes frightening"
rotten,"Five Nights at Freddy’s offers some fun thrills and manages to bring the animatronics to life, but unfortunately the same can’t be said for its human characters."
rotten,"Maybe the fans are satiated by reams of lore, but we wanted blood. Even if it was a bit of a gory romp, that wouldn't do much to paper over the technical cracks, like some of its shoddy editing. Josh Hutcherson innocent, of course."
rotten,"It delivers creepy animatronics and excellent visual effects; unfortunately, almost everything else falls flat. The story is unnecessarily convoluted with awkward dialogue, and the impressive slasher sequences are few and far in-between."
fresh,"The film expands the lore of the simple game it's based on, allowing it to go beyond jump scares and cheap thrills. It starts off slow but builds into a satisfying mystery."
rotten,"I wish Five Nights at Freddy’s was wackier, bloodier, and actually scary."
fresh,A lot better than what was expected but let's face it it was the actors in this film that saved it.
rotten,A movie made for gamers and not the general audience.
fresh,"Lulls settle in when Mike’s backstory is belabored or when a cop shows up repeatedly just to drop exposition, but the film should serve as a macabre-cute gateway horror picture for younger audiences and fans of the franchise."
rotten,"... A succession of repetitive scenes replete with bland characters (with the notable exception of William Afton, wonderfully played by Matthew Lillard) that explore '80s iconography retrofitted for the new millennium. [Full review in Spanish]"
rotten,"This adaptation of a popular 2014 video game has some elements that really work well, but ultimately the latest entry to the horror genre falls short in large part to an uneven tone that can’t exactly decide how dark it truly wants to be."
rotten,"[S]ame-day theater and streaming release dates, wicked puppetry, and the Matthew Lillard return to horror. In those regards, this movie did deliver. I choose to save those three things from this burning building as I watch the rest go up in flames."
rotten,"Five Nights at Freddy's is a decent entry-level horror flick and the animatronics look fantastic, but it's story is an overstuffed mess that tries to pack in too much lore at once."
fresh,"This is a flawed motion picture, but it offers families the chance to be scared together, and when it works, it is both creepy and fun."
rotten,"So little makes sense in this utterly predictable film, that it makes even the few and far between legit scare sequences not worth it"
rotten,Director Emma Tammi wants the viewer to spend Five Nights at Freddy’s. But it is essentially one night too many.
rotten,"With a cast of one, a single setting, and minimal dialogue, the game did much better storytelling than its overloaded failed-trope adaptation."
fresh,Will probably become a cult classic. [Full review in Spanish]
fresh,"Overall, the film needed more of the tension the video game series is known for, not to mention their arcade-fun terror, but it still serves as a solid Five Nights at Freddy’s franchise opener."
rotten,An intriguing premise undermined by simply terrible storytelling...
rotten,Five Nights at Freddy’s might play better for video game enthusiasts who know this world already. Newcomers might not find the edge they were hoping for.
rotten,"The pacing is bad, the plotting is both convoluted and also somehow weirdly shallow, the writing is laughable, and the action is simplistic. I would not recommend seeing Five Nights at Freddy’s, as it is not good."
rotten,"Five Nights at Freddy's could have used a couple more evenings working on the screenplay. Turgid, muddled, and lacking atmosphere, five minutes with Fazbear would have sufficed. One of the worst movies of 2023."
fresh,"There are some pacing issues, and the acting could be more balanced. Keeping the majority of the anxiety inducing chills from the video game franchise it stems from, Five Nights at Freddy’s delivers a solid movie experience."
fresh,"What director Emma Tammi understood was fans of this property dont just want the scares, but the lore as well, which invests you in these weird characters and their fates and brings us back again and again."
fresh,"A so so adaptation that's entertaining enough, but a must-see for the expertly crafted animatronics."
fresh,"Even if Five Nights at Freddy's somewhat ignores the beginning of the game, the film has its charm.  [Full review in Spanish]"
fresh,"Five Nights at Freddy's has a fun and creepy premise, but ultimately is a little too methodical and slowly paced to deliver true thrills."
fresh,A story that will delight both fans of the original video games (FNAF) and newcomers alike. [Full review in Spanish]
rotten,Five Nights at Freddy’s is just another poor video game adaptation for the garbage pile.
rotten,"The film unsuccessfully tries to merge two disparate tones with an uninteresting and often nonsensical plot. Opportunities for animatronic chaos and excitement are mostly left on the table, resulting in an overall dull affair."
rotten,"It's all very tedious when it's not confusing, and it can't even count on atmosphere to salvage it."
rotten,"The movie will make you want to quit movies about video games, and perhaps video games as well."
rotten,"A rushed second half, struggling to explain certain character's storylines fails to make the film thrilling or fun. I would say watch ""Child's Play"" or ""MEGAN"" if you want to see a silly, but clever horror about products that shouldn't be coming to life."
rotten,...a milquetoast viewing experience...unable to determine just what kind of movie (this) truly wants this to be.
rotten,Video game adaptation teeters between serious horror and bloodless camp.
rotten,Casual moviegoers may enjoy the dynamic between Mike and Abby but shouldn’t expect much from the disjointed screenplay beyond the odd jump scare and perhaps some chuckles.
rotten,"Five Nights at Freddy’s is a hodgepodge of a horror movie. The script and direction throw nearly the kitchen sink at the audience, but nothing feels fully fleshed out."
rotten,"Fans of the video game of the same name will know what’s possible in this spin-off movie, but anyone approaching it as just another horror film might be confounded."
fresh,[Five Nights at Freddy's] is a nice supernatural story that captures the sensations of Goosebumps and the '90s The Midnight Club for a multi-format generation that does not understand entertainment as a static window. [Full review in Spanish]
rotten,"With its mix of not-scary-enough horror and too-extensive backstory, this ends up feeling more like franchise maintenance than entertainment. It's a film that exists to further the brand rather than be enjoyable in its own right"
rotten,"While it is simply wrong to pass Five Nights at Freddy's off as being another lazy horror adaptation, the film is clearly a monstrous mess."
rotten,"Instead of catering to the in-built audience ready and waiting, ""Five Nights"" wastes time trying to win over people who couldn’t care less. As a result, what should’ve been an intricate, twisted, and absurd treat is demoted to generic horror movie sludge."
rotten,"It strains to erect a supernatural universe while neglecting to fulfill the basic promises of a scary film built on a gag premise, stretching its dreary tale of trauma to nearly two hours."
fresh,"""Five Nights at Freddy’s"" is a decent flick that provides entertainment and scares for younger and older generations. Is it without flaws in its story? No, but this supernatural horror is still fun to see."
rotten,I'm not sure why this movie was even made. The plot was all over the place and was overly predictable. I couldn't tell if I should laugh with it or at it.
fresh,Five Nights at Freddy's is a good adaptation of the video game of the same name that manages to keep the viewer tense throughout the entire show thanks to its creepy atmosphere and impressive special effects. [Full review in Spanish]
fresh,"If we ignore that this is supposed to be a horror film... on its own merit, the film is fun to watch. From start to finish we are taken on a journey that has emotional depth and connects us to the main characters."
fresh,"It’s an uneven scarefest, but the bloodthirst is at least refreshing."
fresh,"Though it may not be the film we asked for this Halloween weekend, it's refreshing to see Josh Hutcherson in a starring role again in this quirky horror fairytale."
fresh,"As it is, the movie seems best suited for those who prefer their scares within boundaries, and aren’t too concerned with plot logic."
fresh,Emma Tammi has done the unexpected. She made a tasty meal out of pre-packaged pizza dough when most folks were expecting Chuck E. Cheese-level quality.
rotten,"Five Nights at Freddy's is awful. They didn't have anything for two hours, much less five nights."
fresh,"The seesaw definitely tips toward fan service, though there are some horror pleasures that anyone can appreciate."
rotten,"A horror film doesn’t have to be R rated to be good, but Five Nights at Freddy’s feels like 30 minutes of interesting ideas padded out to almost two hours"
rotten,"Based on the popular horror video games, this movie starts out well, with sympathetic characters, a fun design, and an appealing comical tone, but it goes on too long and eventually falls apart."
fresh,"It isn’t perfect, far from it, but try to tell that to the kids who love FNAF and they will have thousands of reasons why you are wrong."
rotten,"Five Nights at Freddy's is a yawn and a half ... Sorry, Freddy. Back to the stage for you."
rotten,"Five Nights at Freddy's forgets to be fun or scary, limiting what genre effectiveness can be mustered up here."
rotten,Not fun enough. Not scary enough. It just exists.
fresh,Newcomers will appreciate that a PG-13 rated film isn’t afraid to kill kids and shred unwitting trespassers. Genre and game fans will howl with appreciation at the Easter eggs embedded throughout.
fresh,Five Nights at Freddy’s was overall a bit too long but pretty much an okay movie for the season and did right by its source material.
rotten,"Almost worth a recommendation, but when a film about animatronics killing has very little animatronics killing, many won't get their money's worth."
rotten,"The plot is as dingy and full of holes as a 10-year-old pair of underpants, and about as much fun to watch."
rotten,"For something that features an enormous robot chicken armed with a cupcake, [it's] an oddly serious, even dour movie."
rotten,Five Nights at Freddy’s commits the worst crime of all – it’s dull from beginning to end. It’s a frustrating miss on a premise and franchise that can be so much more.
rotten,"Hutcherson is admirably committed to the film-makers’ apparent desire to make something miserable of a scenario that, as one Oscar-winning actor has shown, is more accommodating of psychedelic comedy."
fresh,"[A] fun gateway horror film ... has [plot] holes bigger than a pizzeria ... but it’s a film where those of a certain age will jump and shriek at the right places, then laugh over how they survived."
rotten,"...a classic case of getting so carried away with other things that you shortchange what people are coming to see. More specifically, it gets bogged down in bland uninteresting drama rather than delivering the wacky animatronic horror it advertises."
fresh,"Five Nights At Freddy’s saving grace for it is that it’s immediately available on Peacock. While it may not live up to the ambition of the project or the IP, it is perfect for the Halloween season."
rotten,"Sloppy, boring and unscary, Five Nights at Freddy's is a big letdown. [Full review in Spanish]"
rotten,"I hate singling out actors because bad movies are rarely their fault, but Hutcherson’s terrible performance is right at home in this stuffed dog of a thriller."
fresh,"Emma Tammi’s horror-mystery film isn’t perfect, but it’s compelling and scary enough to beg for sequels."
rotten,"Franchise devotees will find a little more traction here via inside-baseball references... Beyond that, the movie commits the indefensible crime of being no fun whatsoever."
rotten,"... A movie that is somewhat schematic in its development, superficial, and remains halfway throughout. [Full review in Spanish]"
fresh,It’s a fun gateway horror movie for kids—and the easily scared who want to test their limits lightly.
fresh,"This is gateway horror, and it’s pretty damn fun gateway horror at that. But the “PG-13 horror is inherently evil” crowd will no doubt walk away deeply disappointed. A solid effort that underdelivers in some areas but exceeds expectations in others."
rotten,I was more bored than scared.
fresh,"It has a great look and feels true to the game, but it is a bit overwritten to add a story to otherwise mundane game play."
rotten,"Josh Hutcherson is good as Mike but aside from that, viewers will be longing to see “Game Over” flash on cinema screens."
rotten,"Though deadly robots and spooky kids would each be frightening enough alone without them teaming up, somehow, when they’re together here, they’re not that scary or much fun."
rotten,"This movie is absolutely terrible. It is slow, it is not scary, it is not funny. It's just not a well done movie."
rotten,"Like Teletubbies with chainsaws, or knife-wielding Fimbles, it’s absurd. But not in a good way."
rotten,"Yet while there’s enough ambient dread in this “Five Nights at Freddy’s” feature to indicate why the video games are so popular, there’s more by-the-numbers plotting than needed."
rotten,"Five Nights At Freddy’s is a strange film, uneven in tone, encumbered by a very grown-up serial killer plot and disastrously lacking a sense of humour."
rotten,Five Nights At Freddy's is four nights too many.
fresh,The only real caveat is the horror is diluted since the film needed to maintain a PG rating for maximum box office.
rotten,"Deep inside, there's a good movie here. But a muddied script littered with tonal and story issues keeps it from being anything memorable."
rotten,Surely Chuck E. Cheese and Freddy Krueger are sharing a sinister laugh about it right now. (mini-review)
fresh,"Championing psychological horror over bloodletting gore lowers the rating but ups the ante... a decent translation to the screen, almost ninety percent of what fans expect with a couple of twists."
rotten,"The film seems rather unsure of its identity, half-heartedly attempting to be scary and funny, and ultimately succeeding at neither."
rotten,"The premise, meantime, of “Five Nights at Freddy’s” is entirely about the cruelty, and very likely would’ve made more sense as a straight-up R-rated splatterfest."
rotten,It's about as generic as it gets.
rotten,Five Nights at Freddy’s is the latest film to proclaim itself a scary movie but ends up approaching the genre with such trepidation that the result is a bland tale that is neither scary nor funny enough to at least make it [amusing].
rotten,"Unfortunately, this adaptation of the popular 2014 video game fails at delivering scares or cheeky laughs, resulting in a tedious experience that relies heavily on horror’s most cliched tropes."
rotten,"The monsters are beautifully designed by the Jim Henson Creature Shop, but this joyless shocker never whirs into life."
fresh,"Creepy rather than scary, and more a ghost story than a monster movie, this has a good heart but feels a little toothless for something with so many killer robots."
rotten,"A five-person writing team (including the game's creator) has conjured what ""The Vanishing"" or ""Prisoners"" might look like were it produced by Showbiz Pizza and mandated to subliminally promote purchasing a birthday pizza party package every 10 minutes."
rotten,"The kind of hollowed-out exercise in atrociousness that pretty much forces you to mull other things, be they what you’re having for dinner, the decline of American community, or the heat death of the universe."
rotten,"If the crowd I watched the film with is any indication, Five Nights at Freddy’s will likely satisfy those who know Freddy Fazbear and his maniacal cohorts. If my personal experience is any indication, newcomers will be by turns underwhelmed and bored."
rotten,"In the game, the players are Mike, and the goal is not to get killed. The pace is speedy, the threats are many. It’s all about staying alive. The problem for the movie audience is staying awake."
rotten,"Despite an authentic production design that brings the world to vivid life and stupendous animatronics from the Jim Henson Creature Shop, the movie has no sense of direction or rhythm."
rotten,"Dour and depressing, all about buried traumas and child endangerment in both the past and present."
fresh,"Mitchell, Thompson, Howery, and Bell are all comical in their over-the-top roles, though Mitchell's Ed is funnier if viewed as single-minded rather than just simple (or even intellectually challenged)."
rotten,It’s the same order inside new packaging that you may or may not still have a taste for.
rotten,"The script is a bit sharper than the first, as there are some ideas on its mind concerning automation and employment conditions. It doesn’t delve too deeply into these things, but it at least fills the 90-minute runtime with some worthwhile toppings."
fresh,"And it mostly maintains the stoopid spirit of the original. It seems to maintain it, anyway – its success is wholly contingent on one’s standing affection for the first movie..."
fresh,Good Burger 2 sticks to the hits but matures enough to not seem weirdly juvenile. It comes off as endearing and nostalgic fun.
rotten,"All in all, it’s worth a watch if you are a fan of the original but it is a very forgettable movie that won’t leave much of an impression."
fresh,Flavors of Nickelodeon and the show All That come back strong with a film that's equal parts nostalgia and nutty. Grade B-
rotten,"To update the story to 2023, the filmmakers add a few new characters and a tiresome AI plot, winding up with a Thanksgiving diversion that functions just fine playing in the background as families gather for their holiday meals."
